epoch,train_loss,val_loss,best_val,is_best,epochs_without_improvement
1,4.48727293358451,4.2251932710130635,4.2251932710130635,1,0
2,4.065144312661382,4.070841314636659,4.070841314636659,1,0
3,3.883605997036371,4.022806476209765,4.022806476209765,1,0
4,3.768943724364368,3.976162056313868,3.976162056313868,1,0
5,3.682298536123124,3.9886042997473123,3.976162056313868,0,1
6,3.6136648762215158,3.955041623189813,3.955041623189813,1,0
7,3.5457733090447907,3.9615310285693015,3.955041623189813,0,1
8,3.4909156721017824,3.9578720004387735,3.955041623189813,0,2
9,3.4406854422087063,3.9487318918341043,3.9487318918341043,1,0
10,3.3891894964037736,3.9402290690353725,3.9402290690353725,1,0
11,3.3452971532315163,3.9497741323393827,3.9402290690353725,0,1
12,3.306493074689547,3.9367601284728244,3.9367601284728244,1,0
13,3.264240158431189,3.937795988867216,3.9367601284728244,0,1
14,3.224947607430664,3.9423125347244405,3.9367601284728244,0,2
15,3.1911678730779722,3.9641941061643795,3.9367601284728244,0,3
