epoch,train_loss,val_loss,best_val,is_best,epochs_without_improvement
1,4.522159330633309,4.291320293120506,4.291320293120506,1,0
2,4.158012111334861,4.162092921518463,4.162092921518463,1,0
3,4.011598325947985,4.126498341560364,4.126498341560364,1,0
4,3.932054118527346,4.099439970058072,4.099439970058072,1,0
5,3.86733233808267,4.090838845273788,4.090838845273788,1,0
6,3.8192987496152884,4.091608904975225,4.090838845273788,0,1
7,3.778627620972161,4.076138824688683,4.076138824688683,1,0
8,3.733544259270779,4.073676445773828,4.073676445773828,1,0
9,3.701678918771149,4.073889453463094,4.073676445773828,0,1
10,3.6649066358170295,4.080575067306233,4.073676445773828,0,2
11,3.6308670182271476,4.07154396167054,4.07154396167054,1,0
12,3.6008335408170073,4.084859893700787,4.07154396167054,0,1
13,3.574568309930422,4.078421970022801,4.07154396167054,0,2
14,3.5474706363853126,4.081673567168809,4.07154396167054,0,3
