epoch,train_loss,val_loss,best_val,is_best,epochs_without_improvement
1,4.311741475788301,3.885549811848788,3.885549811848788,1,0
2,3.7289386559010347,3.6495849696123326,3.6495849696123326,1,0
3,3.535323805562244,3.573540329886727,3.573540329886727,1,0
4,3.409027777370905,3.533603623306236,3.533603623306236,1,0
5,3.32857146844243,3.4976198166829398,3.4976198166829398,1,0
6,3.250165699638787,3.486335797513279,3.486335797513279,1,0
7,3.194671596947417,3.4604890086700073,3.4604890086700073,1,0
8,3.1320422160605554,3.4422805814089177,3.4422805814089177,1,0
9,3.074904391443192,3.4344174140011425,3.4344174140011425,1,0
10,3.0428181559096195,3.427935933504859,3.427935933504859,1,0
11,2.9950901361061057,3.420499180140642,3.420499180140642,1,0
12,2.9616129309187746,3.4208783358741837,3.420499180140642,0,1
13,2.9266863469488436,3.41678569785435,3.41678569785435,1,0
14,2.8906876508302,3.410162324193948,3.410162324193948,1,0
15,2.861164093176789,3.4000673255987284,3.4000673255987284,1,0
16,2.824622957933327,3.4126255176714713,3.4000673255987284,0,1
17,2.7995389376339412,3.4151313696847523,3.4000673255987284,0,2
18,2.7608725477737655,3.4217891466027806,3.4000673255987284,0,3
