epoch,train_loss,val_loss,best_val,is_best,epochs_without_improvement
1,4.3382648931321794,3.9799719264779427,3.9799719264779427,1,0
2,3.844006837230294,3.819592401077648,3.819592401077648,1,0
3,3.687479299058102,3.7621029359058134,3.7621029359058134,1,0
4,3.594546226507833,3.7368803411130083,3.7368803411130083,1,0
5,3.534445110664941,3.718085494657226,3.718085494657226,1,0
6,3.4772069663555674,3.704627558792153,3.704627558792153,1,0
7,3.4369922313944925,3.691334033551084,3.691334033551084,1,0
8,3.3918424339644697,3.684403179915071,3.684403179915071,1,0
9,3.355987002734151,3.6956347685915327,3.684403179915071,0,1
10,3.327907153481434,3.683256749401865,3.683256749401865,1,0
11,3.2941163652926333,3.6814965849773493,3.6814965849773493,1,0
12,3.265285716749392,3.680778227801633,3.680778227801633,1,0
13,3.235678700811676,3.678047619722305,3.678047619722305,1,0
14,3.2145412898819914,3.681265619741974,3.678047619722305,0,1
15,3.189984532708119,3.682541399648508,3.678047619722305,0,2
16,3.1648131300491564,3.6863245923648233,3.678047619722305,0,3
