protocol,protocol_name,direction,model_key,model,mrr,recall_at_1,recall_at_5,recall_at_10,precision_at_1,precision_at_10,mean_rank
A,pair,V2A,baseline,Baseline,0.023697353353181058,0.007906215921483098,0.030806979280261722,0.04934569247546347,,,1159.664667393675
A,pair,V2A,untrained,Untrained heads,0.0021994709299866374,0.0,0.0019083969465648854,0.003544165757906216,,,1785.246183206107
A,pair,V2A,pair,Pair-based,0.03418545142504874,0.011723009814612868,0.04334787350054525,0.07088331515812432,,,655.8208833151581
A,pair,V2A,genre,Genre-based,0.011546296698843952,0.0027262813522355507,0.009814612868047983,0.017993456924754635,,,902.8713195201744
A,pair,V2A,audio_encoder_pair,Audio-Encoder Pair,0.048567232131031125,0.020174482006543076,0.06461286804798255,0.0970556161395856,,,588.3860414394766
A,pair,V2A,audio_encoder_genre,Audio-Encoder Genre,0.011170493405683022,0.0021810250817884407,0.010632497273718648,0.01826608505997819,,,909.5297164667394
A,pair,A2V,baseline,Baseline,0.01737466787807408,0.0054525627044711015,0.01990185387131952,0.03435114503816794,,,1082.4223009814614
A,pair,A2V,untrained,Untrained heads,0.0025871866373913042,0.0002726281352235551,0.0013631406761177754,0.003816793893129771,,,1796.1592148309705
A,pair,A2V,pair,Pair-based,0.03297368657465726,0.011995637949836423,0.03980370774263904,0.06352235550708833,,,668.9165757906216
A,pair,A2V,genre,Genre-based,0.011419525733605333,0.0019083969465648854,0.011723009814612868,0.021264994547437296,,,892.1840239912759
A,pair,A2V,audio_encoder_pair,Audio-Encoder Pair,0.04377130139329694,0.01772082878953108,0.0539803707742639,0.09051254089422028,,,598.3928571428571
A,pair,A2V,audio_encoder_genre,Audio-Encoder Genre,0.009447796621221275,0.0021810250817884407,0.007088331515812432,0.015267175572519083,,,936.6153217011996
B,label,V2A,baseline,Baseline,0.41908295099862386,0.2554525627044711,0.6224100327153762,0.7870774263904035,0.2554525627044711,0.2408396946564918,7.899127589967285
B,label,V2A,untrained,Untrained heads,0.22516248892579432,0.12022900763358779,0.31215921483097053,0.4642857142857143,0.12022900763358779,0.1076335877862607,23.087786259541986
B,label,V2A,pair,Pair-based,0.47700010233715506,0.32197382769901856,0.6668484187568157,0.8037077426390403,0.32197382769901856,0.29577426390403727,7.6788440567066525
B,label,V2A,genre,Genre-based,0.46878015764412073,0.3350599781897492,0.613958560523446,0.7330970556161396,0.3350599781897492,0.3329062159214832,13.076063249727373
B,label,V2A,audio_encoder_pair,Audio-Encoder Pair,0.4814016348646608,0.32061068702290074,0.6826608505997819,0.8225190839694656,0.32061068702290074,0.3083696837513658,7.404034896401309
B,label,V2A,audio_encoder_genre,Audio-Encoder Genre,0.43564508214920744,0.2723555070883315,0.6376772082878953,0.7619956379498364,0.2723555070883315,0.29732824427481064,13.28217011995638
B,label,A2V,baseline,Baseline,0.36040754027402494,0.21210468920392583,0.5365321701199564,0.6793893129770993,0.21210468920392583,0.20133587786259885,15.77071973827699
B,label,A2V,untrained,Untrained heads,0.25980203899898413,0.1044165757906216,0.43102508178844057,0.6365866957470011,0.1044165757906216,0.11074154852780865,12.182933478735006
B,label,A2V,pair,Pair-based,0.44965394001503384,0.2960741548527808,0.6297709923664122,0.7729007633587787,0.2960741548527808,0.2851417666303189,9.511723009814613
B,label,A2V,genre,Genre-based,0.42837582247680545,0.2941657579062159,0.5730643402399127,0.7050163576881134,0.2941657579062159,0.29871864776445156,15.541984732824428
B,label,A2V,audio_encoder_pair,Audio-Encoder Pair,0.47267857643260874,0.32142857142857145,0.6526717557251909,0.7761723009814613,0.32142857142857145,0.3107960741548547,10.049345692475464
B,label,A2V,audio_encoder_genre,Audio-Encoder Genre,0.4421016110150123,0.3386041439476554,0.5526172300981461,0.6663031624863686,0.3386041439476554,0.30681570338059055,17.758178844056708
