model_key,model,direction,genre,n,delta_median,delta_mean,delta_q25,delta_q75,delta_p10,delta_p05,frac_delta_neg,rank_median,spearman_delta_vs_rank,spearman_pvalue,pearson_delta_vs_rank,pearson_pvalue
pair,E1,V2A,Blues,367,-0.1267929547779779,-0.15325822673452869,-0.25481731000089725,-0.026557266940177585,-0.3847992187490428,-0.49301632140410895,0.8092643051771117,4.0,-0.3706096823051323,2.1583291630402256e-13,-0.3977820895709226,2.304175358533735e-15
pair,E1,V2A,Classical music,366,0.3121224597616585,0.2910775054220398,0.08124587000555701,0.5404930969329275,-0.14071814420278703,-0.24505703778557042,0.19398907103825136,1.0,-0.5204627810397281,8.527477711595087e-27,-0.37295305957461555,1.6007495798586593e-13
pair,E1,V2A,Country,367,0.024553550086706566,0.023062332506745224,-0.13253182980847533,0.19439155007708728,-0.2686348409265484,-0.3564764620858112,0.45776566757493187,2.0,-0.5941761875615467,2.1326286363564866e-36,-0.4831591892160705,7.277566861058013e-23
pair,E1,V2A,Electronic music,367,0.04498483720012761,0.03279669535328425,-0.043439198489824346,0.1194175149261911,-0.12510899391407534,-0.17672859477983138,0.3651226158038147,3.0,-0.5911009018341383,5.976408671926279e-36,-0.6231772763270471,7.258464389524553e-41
pair,E1,V2A,Funk,367,-0.07387465173666014,-0.12239480341346251,-0.16905483750668293,-0.01490005713778697,-0.34234175373551073,-0.488764072904774,0.7901907356948229,6.0,-0.4838136466974723,6.251024743048996e-23,-0.484727443097897,5.0525553858239607e-23
pair,E1,V2A,Hip hop music,367,0.011042184452957043,-0.004868480774735106,-0.052670084319745555,0.06062138116854829,-0.11000938147866297,-0.16363840036781974,0.444141689373297,2.0,-0.5069548392038309,2.3296274799031963e-25,-0.4960955847241479,3.38842461021798e-24
pair,E1,V2A,Jazz,367,-0.14256486266761653,-0.1543636452696396,-0.2920713821976829,-0.01892302186276637,-0.4488692793444432,-0.540216214021357,0.7683923705722071,4.0,-0.5607529559259785,8.851800445344027e-32,-0.40188999222546684,1.1175998475705375e-15
pair,E1,V2A,Pop music,367,-0.04989814955952432,-0.074650353718449,-0.14231504251325824,0.02364226526776564,-0.2934218377388137,-0.39099816158497974,0.6566757493188011,3.0,-0.4289922771511499,7.29564934346592e-18,-0.3984684727102124,2.0432149944794415e-15
pair,E1,V2A,Reggae,366,-0.02279349726793084,-0.055051100123406325,-0.0905354594314506,0.027332137469578646,-0.20544054691198127,-0.3344589334651952,0.6174863387978142,3.0,-0.6315604620560838,3.9024454123018905e-42,-0.499664663426298,1.6420530223933468e-24
pair,E1,V2A,Rock music,367,0.0735411573473409,0.05913394608271333,-0.09486450510077232,0.21358215475650222,-0.22511331462561363,-0.2756589376775417,0.3814713896457766,3.0,-0.5974820670456112,6.9572688069638775e-37,-0.5675145207268734,1.1349564682135314e-32
