model_key,model,direction,true_genre,nearest_other_genre,count,row_percent,both_in_cluster
pair,E1,V2A,Blues,Classical music,16,4.359673024523161,0
pair,E1,V2A,Blues,Country,124,33.787465940054496,0
pair,E1,V2A,Blues,Electronic music,23,6.267029972752043,0
pair,E1,V2A,Blues,Funk,15,4.087193460490464,0
pair,E1,V2A,Blues,Hip hop music,18,4.9046321525885554,0
pair,E1,V2A,Blues,Jazz,46,12.534059945504087,0
pair,E1,V2A,Blues,Pop music,20,5.449591280653951,0
pair,E1,V2A,Blues,Reggae,17,4.632152588555858,0
pair,E1,V2A,Blues,Rock music,88,23.978201634877383,0
pair,E1,V2A,Classical music,Blues,8,2.185792349726776,0
pair,E1,V2A,Classical music,Country,155,42.349726775956285,0
pair,E1,V2A,Classical music,Electronic music,44,12.021857923497267,0
pair,E1,V2A,Classical music,Funk,4,1.092896174863388,0
pair,E1,V2A,Classical music,Hip hop music,2,0.546448087431694,0
pair,E1,V2A,Classical music,Jazz,136,37.15846994535519,0
pair,E1,V2A,Classical music,Pop music,6,1.639344262295082,0
pair,E1,V2A,Classical music,Reggae,3,0.819672131147541,0
pair,E1,V2A,Classical music,Rock music,8,2.185792349726776,0
pair,E1,V2A,Country,Blues,148,40.32697547683924,0
pair,E1,V2A,Country,Classical music,77,20.980926430517712,0
pair,E1,V2A,Country,Electronic music,12,3.2697547683923704,0
pair,E1,V2A,Country,Funk,17,4.632152588555858,0
pair,E1,V2A,Country,Hip hop music,9,2.4523160762942777,0
pair,E1,V2A,Country,Jazz,25,6.8119891008174385,0
pair,E1,V2A,Country,Pop music,27,7.356948228882834,0
pair,E1,V2A,Country,Reggae,11,2.997275204359673,0
pair,E1,V2A,Country,Rock music,41,11.1716621253406,0
pair,E1,V2A,Electronic music,Blues,8,2.1798365122615806,0
pair,E1,V2A,Electronic music,Classical music,10,2.7247956403269753,0
pair,E1,V2A,Electronic music,Country,3,0.8174386920980926,0
pair,E1,V2A,Electronic music,Funk,89,24.250681198910083,1
pair,E1,V2A,Electronic music,Hip hop music,104,28.337874659400544,1
pair,E1,V2A,Electronic music,Jazz,3,0.8174386920980926,0
pair,E1,V2A,Electronic music,Pop music,65,17.71117166212534,1
pair,E1,V2A,Electronic music,Reggae,14,3.8147138964577656,1
