epoch,train_loss,val_loss,best_val,is_best,epochs_without_improvement
1,4.270073622259648,3.924899437695319,3.924899437695319,1,0
2,3.7911953402830503,3.780825310211015,3.780825310211015,1,0
3,3.6307937606578817,3.720388692493917,3.720388692493917,1,0
4,3.5340508035483924,3.685970296516543,3.685970296516543,1,0
5,3.454667489997023,3.6676076464720615,3.6676076464720615,1,0
6,3.391710511041855,3.6508704958201235,3.6508704958201235,1,0
7,3.3395882173023086,3.6372116542824484,3.6372116542824484,1,0
8,3.2875573800325366,3.625933308377781,3.625933308377781,1,0
9,3.2437504377963595,3.6311874670446764,3.625933308377781,0,1
10,3.200033286053318,3.6208278537446565,3.6208278537446565,1,0
11,3.1684436610860356,3.6163787217800594,3.6163787217800594,1,0
12,3.122268039879014,3.6258802751938415,3.6163787217800594,0,1
13,3.0922174653508776,3.6256819886755656,3.6163787217800594,0,2
14,3.0632791406600934,3.631542030571591,3.6163787217800594,0,3
