epoch,train_loss,val_loss,best_val,is_best,epochs_without_improvement
1,4.307684307247731,4.03201278423405,4.03201278423405,1,0
2,3.9105913917414004,3.921880600366624,3.921880600366624,1,0
3,3.7847514597210803,3.8812233886905947,3.8812233886905947,1,0
4,3.7171277325607788,3.857519309419322,3.857519309419322,1,0
5,3.6612469996750683,3.851734603374319,3.851734603374319,1,0
6,3.616183709384989,3.8319746717371883,3.8319746717371883,1,0
7,3.5783554141566314,3.824846243260341,3.824846243260341,1,0
8,3.539636462205925,3.825954628094722,3.824846243260341,0,1
9,3.5094491122857536,3.817254423705156,3.817254423705156,1,0
10,3.4854147525344676,3.8137393387739373,3.8137393387739373,1,0
11,3.4592242877283037,3.8196253932549364,3.8137393387739373,0,1
12,3.433162995333202,3.818086096608652,3.8137393387739373,0,2
13,3.4113695136684674,3.813044223036605,3.813044223036605,1,0
14,3.391252663699185,3.810562188128739,3.810562188128739,1,0
15,3.3702641937712357,3.820740571328832,3.810562188128739,0,1
16,3.3528487322081664,3.82764581661578,3.810562188128739,0,2
17,3.3340579860745656,3.8301281045021383,3.810562188128739,0,3
