protocol,protocol_name,direction,model_key,model,mrr,recall_at_1,recall_at_5,recall_at_10,precision_at_1,precision_at_10,mean_rank
A,pair,V2A,baseline,Baseline,0.023697353353181058,0.007906215921483098,0.030806979280261722,0.04934569247546347,,,1159.664667393675
A,pair,V2A,untrained,Untrained heads,0.0022480470357514157,0.0,0.0013631406761177754,0.0029989094874591058,,,1845.6106870229007
A,pair,V2A,pair,Pair-based,0.0368270380334908,0.012813522355507088,0.04907306434023991,0.07878953107960741,,,619.5174482006543
A,pair,V2A,genre,Genre-based,0.016118863672681102,0.004907306434023991,0.013358778625954198,0.027262813522355506,,,767.2538167938932
A,pair,V2A,audio_encoder_pair,Audio-Encoder Pair,0.04821746032648007,0.016902944383860415,0.06761177753544166,0.10278080697928026,,,546.7699018538714
A,pair,V2A,audio_encoder_genre,Audio-Encoder Genre,0.017071090705901775,0.003544165757906216,0.018538713195201745,0.03462377317339149,,,701.3358778625955
A,pair,A2V,baseline,Baseline,0.01737466787807408,0.0054525627044711015,0.01990185387131952,0.03435114503816794,,,1082.4223009814614
A,pair,A2V,untrained,Untrained heads,0.0019735291499517887,0.0,0.0008178844056706652,0.0024536532170119957,,,1847.224372955289
A,pair,A2V,pair,Pair-based,0.03222304556669407,0.010632497273718648,0.03871319520174482,0.06788440567066521,,,625.8339694656488
A,pair,A2V,genre,Genre-based,0.013267314577216133,0.0029989094874591058,0.011177753544165758,0.02317339149400218,,,771.7579062159215
A,pair,A2V,audio_encoder_pair,Audio-Encoder Pair,0.04546499030010946,0.018538713195201745,0.05616139585605234,0.08887677208287895,,,561.5324427480916
A,pair,A2V,audio_encoder_genre,Audio-Encoder Genre,0.014867350143777896,0.0029989094874591058,0.014176663031624863,0.02699018538713195,,,696.6578516902945
B,label,V2A,baseline,Baseline,0.41908295099862386,0.2554525627044711,0.6224100327153762,0.7870774263904035,0.2554525627044711,0.2408396946564918,7.899127589967285
B,label,V2A,untrained,Untrained heads,0.23178879008881886,0.11259541984732824,0.33696837513631406,0.4686477644492912,0.11259541984732824,0.10370774263904063,24.281079607415485
B,label,V2A,pair,Pair-based,0.4901705932475442,0.3331515812431843,0.6815703380588877,0.8154307524536533,0.3331515812431843,0.31071428571428683,7.497273718647764
B,label,V2A,genre,Genre-based,0.5249611231486927,0.3985823336968375,0.6663031624863686,0.7652671755725191,0.3985823336968375,0.3926390403489634,12.715921483097055
B,label,V2A,audio_encoder_pair,Audio-Encoder Pair,0.49831826583163874,0.3421483097055616,0.6971101417666303,0.8238822246455835,0.3421483097055616,0.32917121046892084,7.495637949836423
B,label,V2A,audio_encoder_genre,Audio-Encoder Genre,0.5137777747396708,0.378680479825518,0.6728462377317339,0.7532715376226826,0.378680479825518,0.387213740458015,14.42257360959651
B,label,A2V,baseline,Baseline,0.36040754027402494,0.21210468920392583,0.5365321701199564,0.6793893129770993,0.21210468920392583,0.20133587786259885,15.77071973827699
B,label,A2V,untrained,Untrained heads,0.24911593943208044,0.10714285714285714,0.3961286804798255,0.5842420937840785,0.10714285714285714,0.1033805888767723,11.752726281352235
B,label,A2V,pair,Pair-based,0.4635920967670072,0.3154307524536532,0.6289531079607416,0.7788985823336968,0.3154307524536532,0.3012813522355534,9.297437295528898
B,label,A2V,genre,Genre-based,0.46031345302358806,0.3489640130861505,0.5806979280261723,0.6804798255179935,0.3489640130861505,0.35179934569247556,18.732006543075244
B,label,A2V,audio_encoder_pair,Audio-Encoder Pair,0.4971898068273529,0.3544165757906216,0.6630316248636859,0.7930752453653217,0.3544165757906216,0.3339967284623781,10.013631406761178
B,label,A2V,audio_encoder_genre,Audio-Encoder Genre,0.5047190699121902,0.3876772082878953,0.6300436205016358,0.7205561613958561,0.3876772082878953,0.39372955288985734,14.770447110141767
