protocol,protocol_name,direction,model_key,model,mrr,recall_at_1,recall_at_5,recall_at_10,precision_at_1,precision_at_10,mean_rank
A,pair,A2V,audio_encoder_genre,Audio-Encoder Genre,0.02624734824143623,0.006043956043956044,0.027472527472527472,0.050274725274725277,,,344.8736263736264
A,pair,A2V,audio_encoder_pair,Audio-Encoder Pair,0.06644249639206029,0.02554945054945055,0.08708791208791208,0.14038461538461539,,,278.18901098901097
A,pair,A2V,baseline,Baseline,0.028350164400458372,0.009615384615384616,0.03626373626373626,0.05686813186813187,,,537.2667582417582
A,pair,A2V,genre,Genre-based,0.02259688071672605,0.005494505494505495,0.020054945054945053,0.04505494505494506,,,383.08214285714286
A,pair,A2V,pair,Pair-based,0.05026660766460515,0.016758241758241758,0.0673076923076923,0.11098901098901098,,,311.04313186813187
A,pair,A2V,untrained,Untrained heads,0.0037384106444473954,0.0002747252747252747,0.0016483516483516484,0.003021978021978022,,,884.9497252747253
A,pair,V2A,audio_encoder_genre,Audio-Encoder Genre,0.0298627826059839,0.008791208791208791,0.031868131868131866,0.061538461538461535,,,347.03324175824173
A,pair,V2A,audio_encoder_pair,Audio-Encoder Pair,0.0730598984239178,0.02912087912087912,0.1,0.15137362637362636,,,271.0010989010989
A,pair,V2A,baseline,Baseline,0.037819365553565146,0.011813186813186813,0.052472527472527467,0.07582417582417583,,,575.3593406593407
A,pair,V2A,genre,Genre-based,0.02600236498656655,0.007417582417582417,0.0271978021978022,0.0532967032967033,,,380.6741758241758
A,pair,V2A,pair,Pair-based,0.05598385980560072,0.02142857142857143,0.07554945054945056,0.1184065934065934,,,307.5046703296703
A,pair,V2A,untrained,Untrained heads,0.0046122000048958636,0.0008241758241758242,0.002747252747252747,0.006043956043956044,,,883.160989010989
B,label,A2V,audio_encoder_genre,Audio-Encoder Genre,0.5047190699121902,0.3876772082878953,0.6300436205016358,0.7205561613958561,0.3876772082878953,0.39372955288985734,14.770447110141767
B,label,A2V,audio_encoder_pair,Audio-Encoder Pair,0.4971898068273529,0.3544165757906216,0.6630316248636859,0.7930752453653217,0.3544165757906216,0.3339967284623781,10.013631406761178
B,label,A2V,baseline,Baseline,0.36040754027402494,0.21210468920392583,0.5365321701199564,0.6793893129770993,0.21210468920392583,0.20133587786259885,15.77071973827699
B,label,A2V,genre,Genre-based,0.46031345302358806,0.3489640130861505,0.5806979280261723,0.6804798255179935,0.3489640130861505,0.35179934569247556,18.732006543075244
B,label,A2V,pair,Pair-based,0.4635920967670072,0.3154307524536532,0.6289531079607416,0.7788985823336968,0.3154307524536532,0.3012813522355534,9.297437295528898
B,label,A2V,untrained,Untrained heads,0.20699426183375627,0.07061068702290077,0.3227917121046892,0.5550708833151581,0.07061068702290077,0.09397491821155989,17.964558342420936
B,label,V2A,audio_encoder_genre,Audio-Encoder Genre,0.5137777747396708,0.378680479825518,0.6728462377317339,0.7532715376226826,0.378680479825518,0.387213740458015,14.42257360959651
B,label,V2A,audio_encoder_pair,Audio-Encoder Pair,0.49831826583163874,0.3421483097055616,0.6971101417666303,0.8238822246455835,0.3421483097055616,0.32917121046892084,7.495637949836423
B,label,V2A,baseline,Baseline,0.41908295099862386,0.2554525627044711,0.6224100327153762,0.7870774263904035,0.2554525627044711,0.2408396946564918,7.899127589967285
B,label,V2A,genre,Genre-based,0.5249611231486927,0.3985823336968375,0.6663031624863686,0.7652671755725191,0.3985823336968375,0.3926390403489634,12.715921483097055
B,label,V2A,pair,Pair-based,0.4901705932475442,0.3331515812431843,0.6815703380588877,0.8154307524536533,0.3331515812431843,0.31071428571428683,7.497273718647764
B,label,V2A,untrained,Untrained heads,0.2345849877301636,0.09923664122137404,0.34323882224645585,0.5577971646673937,0.09923664122137404,0.1022628135223563,14.028080697928026
