model_key,model,protocol,direction,quality,n_queries,mrr,recall_at_10
baseline,Baseline,A,V2A,KEEP_HIGH,2234,0.033238729657774975,0.06893464637421665
baseline,Baseline,A,V2A,KEEP_LOW,1434,0.008833026126211887,0.01882845188284519
audio_encoder_pair,E3a,A,V2A,KEEP_HIGH,2234,0.06710033819244313,0.14637421665174574
audio_encoder_pair,E3a,A,V2A,KEEP_LOW,1434,0.018800201300812888,0.03486750348675035
audio_encoder_genre,E3b,A,V2A,KEEP_HIGH,2234,0.019602595808849117,0.043867502238137866
audio_encoder_genre,E3b,A,V2A,KEEP_LOW,1434,0.013132608311213862,0.020223152022315203
baseline,Baseline,A,A2V,KEEP_HIGH,2234,0.024163536963599075,0.049686660698299016
baseline,Baseline,A,A2V,KEEP_LOW,1434,0.006798423579983178,0.010460251046025104
audio_encoder_pair,E3a,A,A2V,KEEP_HIGH,2234,0.06479716274278303,0.12891674127126232
audio_encoder_pair,E3a,A,A2V,KEEP_LOW,1434,0.015347784416613948,0.026499302649930265
audio_encoder_genre,E3b,A,A2V,KEEP_HIGH,2234,0.01747489370253539,0.02864816472694718
audio_encoder_genre,E3b,A,A2V,KEEP_LOW,1434,0.010805111584002974,0.024407252440725245
baseline,Baseline,B,V2A,KEEP_HIGH,2234,0.46797888859581616,0.8348254252461952
baseline,Baseline,B,V2A,KEEP_LOW,1434,0.342908945006907,0.7126917712691772
audio_encoder_pair,E3a,B,V2A,KEEP_HIGH,2234,0.5525238734258072,0.8589973142345568
audio_encoder_pair,E3a,B,V2A,KEEP_LOW,1434,0.41387243084881736,0.7691771269177127
audio_encoder_genre,E3b,B,V2A,KEEP_HIGH,2234,0.554304298342424,0.7896150402864817
audio_encoder_genre,E3b,B,V2A,KEEP_LOW,1434,0.4506476781391169,0.696652719665272
baseline,Baseline,B,A2V,KEEP_HIGH,2234,0.3647407924964499,0.6727842435094001
baseline,Baseline,B,A2V,KEEP_LOW,1434,0.35365685306001216,0.689679218967922
audio_encoder_pair,E3a,B,A2V,KEEP_HIGH,2234,0.5226605953672743,0.8075201432408237
audio_encoder_pair,E3a,B,A2V,KEEP_LOW,1434,0.45750937335582326,0.7705718270571827
audio_encoder_genre,E3b,B,A2V,KEEP_HIGH,2234,0.5204570569478629,0.7278424350940018
audio_encoder_genre,E3b,B,A2V,KEEP_LOW,1434,0.4802011737910716,0.7092050209205021
